bbox_mae,loss,segmentation_accuracy,val_bbox_mae,val_loss,val_segmentation_accuracy,learning_rate
18.400802612304688,-246.876220703125,0.9158998727798462,16.822582244873047,-346.7218017578125,0.9167638421058655,0.0010000000474974513
17.582504272460938,-289.05328369140625,0.9240474104881287,16.522037506103516,-351.90435791015625,0.9167638421058655,0.0010000000474974513
17.300554275512695,-310.8330383300781,0.9240474700927734,17.250337600708008,-300.3202819824219,0.9167638421058655,0.0010000000474974513
16.884864807128906,-302.2850036621094,0.9240473508834839,17.383808135986328,-354.9596252441406,0.9167638421058655,0.0010000000474974513
16.902132034301758,-319.2388610839844,0.9240471720695496,18.220090866088867,-313.7101745605469,0.9167638421058655,0.0010000000474974513
16.723112106323242,-311.38861083984375,0.924047589302063,16.122180938720703,-349.0644226074219,0.9167638421058655,0.0010000000474974513
16.80535125732422,-311.34698486328125,0.9240471124649048,17.629976272583008,-357.613037109375,0.9167638421058655,0.0010000000474974513
16.455469131469727,-322.9391174316406,0.92404705286026,16.351207733154297,-366.8829345703125,0.9167638421058655,0.0010000000474974513
17.014986038208008,-324.0010986328125,0.9240474700927734,16.752439498901367,-360.60540771484375,0.9167638421058655,0.0010000000474974513
16.44722557067871,-306.7861633300781,0.9240471720695496,16.469820022583008,-358.9109191894531,0.9167638421058655,0.0010000000474974513
16.522502899169922,-322.33038330078125,0.9240471720695496,16.37091636657715,-368.1327819824219,0.9167638421058655,0.0010000000474974513
16.54175567626953,-319.1554870605469,0.9240473508834839,16.174484252929688,-342.7186584472656,0.9167638421058655,0.0010000000474974513
16.57176971435547,-303.9618835449219,0.924047589302063,16.201702117919922,-349.6539611816406,0.9167638421058655,0.0010000000474974513
16.77788543701172,-327.5970458984375,0.9240472912788391,16.22564697265625,-360.29547119140625,0.9167638421058655,0.0010000000474974513
16.002174377441406,-335.97833251953125,0.9240474104881287,16.167125701904297,-361.9635009765625,0.9167638421058655,0.00010000000474974513
16.024972915649414,-313.9267883300781,0.9240473508834839,16.219379425048828,-359.13641357421875,0.9167638421058655,0.00010000000474974513
